Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Examples\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests,10,1057,740,350,5,177,0,140,243,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\Extensions,2,218,146,80,0,39,0,33,33,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\InMemoryBus,4,626,451,210,4,103,0,72,72,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Extensions,2,233,179,92,19,27,1,27,245,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\InMemoryBus,9,359,302,153,17,57,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Installers,5,129,117,56,3,12,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Properties,1,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry,80,14219,11515,5094,409,2269,3,435,1209,0,0
C:\Development\Selkie\Geometry\NuGet.Selkie.Geometry,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Geometry\NuGet.Selkie.Geometry\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Geometry\NuGet.Selkie.Geometry\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry\NuGet.Selkie.Geometry\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry,52,4690,3828,1916,407,779,2,83,458,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Calculators,1,37,15,3,0,5,0,17,120,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Calculators\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests,26,9453,7658,3173,2,1477,1,318,511,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Calculators,8,3369,2879,1128,0,484,0,6,29,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Primitives,2,1241,992,475,0,247,0,2,8,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Properties,1,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes,12,4193,3346,1398,2,677,1,170,231,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Shapes\Calculators,4,604,474,214,2,94,0,36,36,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\Surveying,3,611,427,170,0,61,0,123,123,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry.Tests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Calculators,16,1483,1201,644,114,252,0,30,140,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Primitives,2,485,397,201,71,80,0,8,28,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Properties,1,40,16,3,0,8,0,16,118,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes,25,2391,1973,966,218,391,2,27,164,0,0
C:\Development\Selkie\Geometry\Selkie.Geometry\Shapes\Calculators,8,466,392,190,37,71,2,3,35,0,0
