File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\UnknownTrailBuilderTests.cs,104,86,44,0,18,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\Optimizers\TwoOptSimpleTests.cs,263,225,89,1,38,0,0,0,0,0
C:\Development\Selkie\Aco\Selkie.Aco.Trails.Tests\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\NuGet.Selkie.Aop\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Properties\AssemblyInfo.cs,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop\IInvocationToTextConverter.cs,10,9,5,0,1,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\ILoggerRepository.cs,10,9,5,0,1,1,0,10,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Installer.cs,14,13,6,1,1,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\InvocationToTextConverter.cs,53,43,24,6,10,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\LoggerRepository.cs,29,24,13,1,5,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\ExceptionLogger.cs,45,38,23,1,7,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\ExceptionToMessageConverter.cs,79,63,31,3,15,0,1,4,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\IExceptionLogger.cs,11,10,5,0,1,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\IExceptionToMessageConverter.cs,20,17,10,0,3,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\IStatusInfo.cs,7,7,3,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\IStatusRepository.cs,9,8,4,0,1,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\LogAspect.cs,46,41,22,2,5,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\MessageHandlerAspect.cs,65,57,32,1,8,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\PublishExceptionAspect.cs,53,46,25,0,7,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\StatusAspect.cs,88,74,41,2,14,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\StatusAttribute.cs,17,15,6,0,2,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Aspects\StatusRepository.cs,56,45,27,3,10,0,1,4,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Messages\ExceptionInformation.cs,9,9,5,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Messages\ExceptionThrownMessage.cs,14,12,5,0,2,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Messages\StatusMessage.cs,7,7,3,0,0,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop\Properties\AssemblyInfo.cs,41,16,3,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example\Example.cs,109,92,53,1,17,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example\Installer.cs,17,16,7,1,1,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example\Program.cs,27,21,13,0,6,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\Installer.cs,14,13,6,1,1,0,0,0,0,0
C:\Development\Selkie\Aop\Selkie.Aop.Example.Data\ISomething.cs,15,13,9,0,2,0,0,0,0,0
